KDJ,KabKot,Region,Province,Regency_Ci,District_name,sat_2019,sat_2020,gdp_2019,gdp_2020
8204,Kabupaten Halmahera Selatan,Maluku,North Maluku,Regency,Halmahera Selatan,1282.63006,1610.528721,4879,5671
6306,Kabupaten Hulu Sungai Selatan,Kalimantan,South Kalimantan,Regency,Hulu Sungai Selatan,909.3189006,928.3138551,4707,4651
7109,Kabupaten Minahasa Tenggara,Sulawesi,North Sulawesi,Regency,Minahasa Tenggara,785.8985928,785.6072355,3638,3614
7206,Kabupaten Toli-Toli,Sulawesi,Central Sulawesi,Regency,Toli-Toli,631.9013962,603.3098346,5729,5539
7205,Kabupaten Donggala,Sulawesi,Central Sulawesi,Regency,Donggala,978.2841456,1027.487412,8522,8107
5305,Kabupaten Timor Tengah Utara,Nusa Tenggara,East Nusa Tenggara,Regency,Timor Tengah Utara,425.2516094,496.2598164,2900,2884
7602,Kabupaten Polewali Mandar,Sulawesi,West Sulawesi,Regency,Polewali Mandar,478.2565419,441.7111396,9396,9250
9104,Kabupaten Teluk Bintuni,Papua,Papua Barat,Regency,Teluk Bintuni,1616.336079,1881.902429,25380,25649
1210,Kabupaten Dairi,Sumatera,North Sumatera,Regency,Dairi,461.4236166,362.6514546,6570,6508
1115,Kabupaten Nagan Raya,Sumatera,Aceh,Regency,Nagan Raya,674.0088751,722.4360917,6530,6762
1708,Kabupaten Kepahiang,Sumatera,Bengkulu,Regency,Kepahiang,217.6517179,256.1354681,2804,2806
7310,Kabupaten Barru,Sulawesi,South Sulawesi,Regency,Barru,706.1699098,752.0788588,4797,4839
6204,Kabupaten Barito Selatan,Kalimantan,Central Kalimantan,Regency,Barito Selatan,608.4272927,482.0566588,4367,4240
7111,Kabupaten Bolaang Mongondow Timur,Sulawesi,North Sulawesi,Regency,Bolaang Mongondow Timur,349.2900893,378.2515977,1878,1882
7402,Kabupaten Muna,Sulawesi,Southeast Sulawesi,Regency,Muna,415.8219775,466.9495656,5068,5071
1311,Kabupaten Dharmasraya,Sumatera,West Sumatera,Regency,Dharmasraya,876.9398619,896.8960502,7560,7455
6501,Kabupaten Malinau,Kalimantan,North Kalimantan,Regency,Malinau,644.2496364,780.0382545,7846,7797
6307,Kabupaten Hulu Sungai Tengah,Kalimantan,South Kalimantan,Regency,Hulu Sungai Tengah,419.1713357,464.2422997,4883,4834
1111,Kabupaten Aceh Utara,Sumatera,Aceh,Regency,Aceh Utara,4751.963761,3679.306958,16853,17015
9105,Kabupaten Manokwari,Papua,Papua Barat,Regency,Manokwari,1397.89254,1508.785574,6928,6592
6503,Kabupaten Tana Tidung,Kalimantan,North Kalimantan,Regency,Tana Tidung,644.6595309,752.5318864,3676,3649
1502,Kabupaten Merangin,Sumatera,Jambi,Regency,Merangin,612.350702,426.3349688,9789,9866
7313,Kabupaten Wajo,Sulawesi,South Sulawesi,Regency,Wajo,915.2160099,947.4969907,12858,12708
5302,Kabupaten Sumba Timur,Nusa Tenggara,East Nusa Tenggara,Regency,Sumba Timur,531.1551669,603.3705572,4001,3968
5313,Kabupaten Manggarai,Nusa Tenggara,East Nusa Tenggara,Regency,Manggarai,456.6075225,564.6100803,3018,2995
1811,Kabupaten Mesuji,Sumatera,Lampung,Regency,Mesuji,953.9042313,1283.67556,7006,6911
6208,Kabupaten Seruyan,Kalimantan,Central Kalimantan,Regency,Seruyan,718.9377808,757.8024951,6043,5908
1110,Kabupaten Bireuen,Sumatera,Aceh,Regency,Bireuen,2754.392957,2796.376323,10065,9971
7315,Kabupaten Pinrang,Sulawesi,South Sulawesi,Regency,Pinrang,1007.78848,889.1272168,12770,12826
1501,Kabupaten Kerinci,Sumatera,Jambi,Regency,Kerinci,322.0310653,401.9585935,6327,6560
7314,Kabupaten Sidenreng Rappang,Sulawesi,South Sulawesi,Regency,Sidenreng Rappang,1124.109623,1011.257928,8451,8401
1114,Kabupaten Aceh Tamiang,Sumatera,Aceh,Regency,Aceh Tamiang,1885.088895,1762.693767,5984,6009
1274,Kota Tebing Tinggi,Sumatera,North Sumatera,City,Tebing Tinggi,1184.566614,1202.561124,3954,3926
8103,Kabupaten Maluku Tengah,Maluku,Maluku,Regency,Maluku Tengah,693.3983543,677.8142384,5863,5840
5208,Kabupaten Lombok Utara,Nusa Tenggara,West Nusa Tenggara,Regency,Lombok Utara,1079.283052,1177.485013,3478,3219
1703,Kabupaten Bengkulu Utara,Sumatera,Bengkulu,Regency,Bengkulu Utara,219.1319465,290.9025003,5205,5216
1303,Kabupaten Solok,Sumatera,West Sumatera,Regency,Solok,679.6696818,606.2948404,9905,9794
7403,Kabupaten Konawe,Sulawesi,Southeast Sulawesi,Regency,Konawe,2983.103704,3606.082775,6905,7348
5306,Kabupaten Belu,Nusa Tenggara,East Nusa Tenggara,Regency,Belu,644.5408258,756.9739915,2957,2968
5311,Kabupaten Ende,Nusa Tenggara,East Nusa Tenggara,Regency,Ende,534.3891868,600.62394,4131,4076
1407,Kabupaten Rokan Hulu,Sumatera,Riau,Regency,Rokan Hulu,1969.78932,1851.222374,25102,25480
6105,Kabupaten Sanggau,Kalimantan,West Kalimantan,Regency,Sanggau,824.4885789,877.9000493,13163,13256
7504,Kabupaten Bone Bolango,Sulawesi,Gorontalo,Regency,Bone Bolango,1324.981897,1293.117751,3154,3156
5310,Kabupaten Sikka,Nusa Tenggara,East Nusa Tenggara,Regency,Sikka,741.483074,771.9874721,3334,3306
1112,Kabupaten Aceh Barat Daya,Sumatera,Aceh,Regency,Aceh Barat Daya,424.4510628,663.3631193,3003,2988
5304,Kabupaten Timor Tengah Selatan,Nusa Tenggara,East Nusa Tenggara,Regency,Timor Tengah Selatan,587.873961,695.142717,4772,4769
1205,Kabupaten Tapanuli Utara,Sumatera,North Sumatera,Regency,Tapanuli Utara,693.7628336,706.0556501,5765,5851
8107,Kabupaten Seram Bagian Timur,Maluku,Maluku,Regency,Seram Bagian Timur,487.7509173,526.3324243,1937,1936
7208,Kabupaten Parigi Moutong,Sulawesi,Central Sulawesi,Regency,Parigi Moutong,1063.323105,1134.052715,11690,11114
1206,Kabupaten Toba Samosir,Sumatera,North Sumatera,Regency,Toba Samosir,762.7636383,658.2196641,5504,5489
1572,Kota Sungai Penuh,Sumatera,Jambi,City,Sungai Penuh,860.2466231,862.2419909,4610,4603
6205,Kabupaten Barito Utara,Kalimantan,Central Kalimantan,Regency,Barito Utara,1854.97198,1423.840751,7115,6955
1209,Kabupaten Simalungun,Sumatera,North Sumatera,Regency,Simalungun,2210.424069,2026.968608,27349,27626
1702,Kabupaten Rejang Lebong,Sumatera,Bengkulu,Regency,Rejang Lebong,493.7414615,539.8183751,6079,6083
7101,Kabupaten Bolaang Mongondow,Sulawesi,North Sulawesi,Regency,Bolaang Mongondow,1340.474235,1385.032825,5444,5488
7202,Kabupaten Banggai,Sulawesi,Central Sulawesi,Regency,Banggai,5242.502423,5456.250784,19512,18579
7105,Kabupaten Minahasa Selatan,Sulawesi,North Sulawesi,Regency,Minahasa Selatan,1062.792447,1142.174661,6120,6073
7405,Kabupaten Konawe Selatan,Sulawesi,Southeast Sulawesi,Regency,Konawe Selatan,1453.364729,1740.993424,8443,8256
1613,Kabupaten Musi Rawas Utara,Sumatera,South Sumatera,Regency,Musi Rawas Utara,703.7258371,363.9873743,5553,5573
1308,Kabupaten Lima Puluh Kota,Sumatera,West Sumatera,Regency,Limapuluh Kota,337.2606152,574.5494136,11192,11062
6101,Kabupaten Sambas,Kalimantan,West Kalimantan,Regency,Sambas,687.3047875,724.5637977,13643,13367
