KDJ;KABKOT;PROVINSI;PULAU;Region;KDJ_1;Province;Regency_Ci;acuan;Distric_Na;sat2012;sat2013;sat2014;sat2015;sat2016;sat2017;sat2018;sat2019;sat2020;gdp2012;gdp2013;gdp2014;gdp2015;gdp2016;gdp2017;gdp2018;gdp2019;gdp2020
7401;Kabupaten Buton;Sulawesi Tenggara; ;Sulawesi;7401;Southeast Sulawesi;Regency;Buton;Buton;27.35332846;45.3822787;55.30554058;117.8827894;93.03353639;166.9499776;154.3256144;208.2609183;252.7133034;4512.651;4877.739;2209.25;2301.463;2410.553;2529.508;2657.304;2767.001494;2752.059686
1109;Kabupaten Pidie;Aceh; ;Sumatera;1109;Aceh;Regency;Pidie;Pidie;29.30167433;203.7635765;358.7425266;527.324626;405.6346474;1159.050849;427.0934588;1517.453916;1301.955756;5801.221;6046.953;6296.49;6604.68;6849.96;7152.96;7456.46;7780.624821;7769.731946
1217;Kabupaten Samosir;Sumatera Utara; ;Sumatera;1217;North Sumatera;Regency;Samosir;Samosir;29.38070146;23.73818552;48.17378163;15.87970106;57.38425085;105.4361085;351.6272885;192.0625577;113.181258;2105.65;2234.09;2367.1;2503.73;2635.77;2776.85;2931.7;3099.078126;3080.793565
7414;Kabupaten Buton Tengah;Sulawesi Tenggara; ;Sulawesi;7414;Southeast Sulawesi;Regency;Buton Tengah;Buton Tengah;31.67752046;51.93734849;45.50056796;93.70206208;97.03269706;162.146662;178.7896184;196.1315641;290.0663044;1292.205;1319.497;1260.52;1296.598;1401.373;1490.369;1579.148;1675.578874;1727.019146
7209;Kabupaten Tojo Una-Una;Sulawesi Tengah; ;Sulawesi;7209;Central Sulawesi;Regency;Tojo Una-Una;Tojo Una-Una;32.53743628;160.0017979;263.4300508;330.908704;275.5868081;443.0488956;378.0218523;434.5050269;494.5183842;2650.565;2852.668;3048.435;3215.549;3398.57;3571.753;3712.459;3889.479489;3764.627198
8108;Kabupaten Maluku Barat Daya;Maluku; ;Maluku;8108;Maluku;Regency;Maluku Barat Daya;Maluku Barat Daya;33.00388567;65.56059297;116.8657128;210.7055354;304.3489065;329.1162875;396.3298575;477.0200676;461.6241711;688.976;732.57;831.199;841.627;892.499;946.842;1004.707;1065.253661;1063.868831
7301;Kabupaten Kepulauan Selayar;Sulawesi Selatan; ;Sulawesi;7301;South Sulawesi;Regency;Kepulauan Selayar;Kepulauan Selayar;33.75005402;36.6421467;44.9226964;71.30037931;61.77504625;105.088396;119.3398256;135.4938835;163.0377644;2122.812;2296.375;2503.349;2724.399;2924.716;3147.389;3422.67;3685.19994;3619.603381
7104;Kabupaten Kepulauan Talaud;Sulawesi Utara; ;Sulawesi;7104;North Sulawesi;Regency;Kepulauan Talaud;Kepulauan Talaud;34.68798326;84.27876489;80.24656782;97.61432365;95.688273;137.0998485;149.453946;125.6548878;148.8903648;1132.903;1191.788;1253.543;1319.042;1388.746;1459.636;1533.259;1605.203395;1612.105769
1202;Kabupaten Mandailing Natal;Sumatera Utara; ;Sumatera;1202;North Sumatera;Regency;Mandailing Natal;Mandailing Natal;35.38583539;29.92257219;559.8938762;183.0393401;63.03235105;362.5939352;653.1106529;796.4552733;772.9602501;6210.82;6606.44;7036.9;7474.42;7933.13;8416.5;8904.14;9375.160579;9287.03407
6210;Kabupaten Pulang Pisau;Kalimantan Tengah;Kalimantan;Kalimantan;6210;Central Kalimantan;Regency;Pulang Pisau;Pulang Pisau;36.43265651;20.94724951;68.94861099;189.0592897;373.6205647;423.2767569;531.0774798;461.3396989;432.0170642;2174.859;2322.635;2490.476;2682.507;2845.266;3011.275;3190.17;3394.173945;3485.477224
6111;Kabupaten Kayong Utara;Kalimantan Barat;Kalimantan;Kalimantan;6111;West Kalimantan;Regency;Kayong Utara;Kayong Utara;36.47398816;0;3.838491268;22.50782339;21.0930388;75.1558129;110.0988868;139.9157216;143.0878548;1765.45;1858.13;1963.34;2062.07;2185.47;2302.84;2418.21;2538.950262;2520.16203
